"last_name, first_name",player_id,year,player_age,AB,PA,H,1B,2B,3B,HR,SO,BB,K_pct,BB_pct,batting_avg,SLG,OBP,on_base_plus_slg,RBI,SB,R,player_name,SkillScore_v1,season
"Vogt, Stephen",519390,2021,36,210,238,41,27,6,1,7,56,26,23.5,10.9,0.195,0.333,0.283,0.616,25,0,24,Stephen Vogt,-2.341160220994474,2021
"Ramírez, Harold",623912,2021,26,339,361,91,62,21,1,7,56,14,15.5,3.9,0.268,0.398,0.305,0.703,41,3,33,Harold Ramírez,25.53867403314917,2021
"Hoskins, Rhys",656555,2021,28,389,443,96,40,29,0,27,108,47,24.4,10.6,0.247,0.53,0.334,0.864,71,3,64,Rhys Hoskins,48.46685082872928,2021
"Santana, Carlos",467793,2021,35,565,659,121,87,15,0,19,102,86,15.5,13.1,0.214,0.342,0.319,0.661,69,2,66,Carlos Santana,23.34254143646409,2021
"Harper, Bryce",547180,2021,28,488,599,151,73,42,1,35,134,100,22.4,16.7,0.309,0.615,0.429,1.044,84,13,101,Bryce Harper,69.94475138121547,2021
"Bell, Josh",605137,2021,28,498,568,130,78,24,1,27,101,65,17.8,11.4,0.261,0.476,0.347,0.823,88,0,75,Josh Bell,56.92679558011049,2021
"McCutchen, Andrew",457705,2021,34,482,574,107,55,24,1,27,132,81,23.0,14.1,0.222,0.444,0.334,0.778,80,6,78,Andrew McCutchen,42.161602209944746,2021
"Marte, Starling",516782,2021,32,467,526,145,103,27,3,12,99,43,18.8,8.2,0.31,0.458,0.383,0.841,55,47,89,Starling Marte,62.879834254143645,2021
"Polanco, Gregory",570256,2021,29,336,382,70,45,12,2,11,104,36,27.2,9.4,0.208,0.354,0.283,0.637,36,14,38,Gregory Polanco,-3.929558011049727,2021
"Turner, Trea",607208,2021,28,595,646,195,130,34,3,28,110,41,17.0,6.3,0.328,0.536,0.375,0.911,77,32,107,Trea Turner,70.64917127071823,2021
"Bader, Harrison",664056,2021,27,367,401,98,60,21,1,16,85,27,21.2,6.7,0.267,0.46,0.324,0.784,50,9,45,Harrison Bader,41.7817679558011,2021
"Franco, Maikel",596748,2021,28,377,403,79,46,22,0,11,67,20,16.6,5.0,0.21,0.355,0.253,0.608,47,0,31,Maikel Franco,4.033149171270717,2021
"Gallo, Joey",608336,2021,27,498,616,99,47,13,1,38,213,111,34.6,18.0,0.199,0.458,0.351,0.809,77,6,90,Joey Gallo,41.18093922651934,2021
"Upton, Justin",457708,2021,33,318,362,67,38,12,0,17,107,39,29.6,10.8,0.211,0.409,0.296,0.705,41,4,47,Justin Upton,9.06077348066298,2021
"Espinal, Santiago",669289,2021,26,222,246,69,53,13,1,2,30,22,12.2,8.9,0.311,0.405,0.376,0.781,17,6,32,Santiago Espinal,57.26519337016576,2021
"Tsutsugo, Yoshi",660294,2021,29,230,262,50,29,12,1,8,72,29,27.5,11.1,0.217,0.383,0.307,0.69,32,0,27,Yoshi Tsutsugo,10.379834254143644,2021
"Moustakas, Mike",519058,2021,32,183,206,38,20,12,0,6,46,18,22.3,8.7,0.208,0.372,0.282,0.654,22,0,21,Mike Moustakas,4.861878453038674,2021
"Benintendi, Andrew",643217,2021,26,493,538,136,90,27,2,17,97,36,18.0,6.7,0.276,0.442,0.324,0.766,73,8,63,Andrew Benintendi,43.00414364640884,2021
"Kelenic, Jarred",672284,2021,21,337,377,61,33,13,1,14,106,36,28.1,9.5,0.181,0.35,0.265,0.615,43,6,41,Jarred Kelenic,-9.364640883977902,2021
