player_id,player_name,bat_hand,throw_hand
592450,aaron judge,R,R
646240,rafael devers,L,R
665862,jazz chisholm jr.,L,R
519317,giancarlo stanton,R,R
642715,willy adames,R,R
641355,cody bellinger,L,L
656305,matt chapman,R,R
700250,ben rice,L,R
671218,heliot ramos,R,R
663757,trent grisham,L,L
650333,luis arraez,L,R
808982,jung hoo lee,L,R
669224,austin wells,L,R
664056,harrison bader,R,R
502671,paul goldschmidt,R,R
641857,ryan mcmahon,L,R
672275,patrick bailey,S,R
669477,casey schmitt,R,R
642708,amed rosario,R,R
666464,jerar encarnacion,R,R
683766,christian koss,R,R
545341,randal grichuk,R,R
666931,jared oliva,R,R
641555,j.c. escarra,L,R
691740,daniel susac,R,R
669373,tarik skubal,R,L
676979,garrett crochet,L,L
694973,paul skenes,R,R
605540,brandon woodruff,L,R
543135,nathan eovaldi,R,R
594798,jacob degrom,L,R
624133,ranger suarez,L,L
642547,freddy peralta,R,R
664285,framber valdez,R,L
680694,kyle bradish,R,R
669432,trevor rogers,L,L
690997,nolan mclean,R,R
657746,joe ryan,R,R
543243,sonny gray,R,R
663556,shane mcclanahan,L,L
694819,jacob misiorowski,R,R
669022,mackenzie gore,L,L
663903,brady singer,R,R
671096,andrew abbott,L,L
683004,jack leiter,R,R
673540,kodai senga,L,R
650633,michael king,R,R
665795,edward cabrera,R,R
669358,shane baz,R,R
656605,mitch keller,R,R
656849,david peterson,L,L
663554,casey mize,R,R
695505,chase burns,R,R
605135,chris bassitt,R,R
678394,brayan bello,R,R
656427,jack flaherty,R,R
669330,tyler wells,R,R
592791,jameson taillon,R,R
813349,connelly early,L,L
579328,yusei kikuchi,L,L
684007,shota imanaga,L,L
696149,bubba chandler,S,R
605400,aaron nola,R,R
605280,clay holmes,R,R
665152,dean kremer,R,R
641927,bailey ober,R,R
695076,rhett lowder,R,R
663436,davis martin,L,R
694477,chad patrick,R,R
641793,zack littell,R,R
671737,taj bradley,R,R
680573,simeon woods richardson,R,R
656876,drew rasmussen,R,R
700241,michael mcgreevy,L,R
669461,matthew liberatore,L,L
669160,dustin may,R,R
680732,sean burke,R,R
677958,kumar rocker,R,R
621121,lance mccullers jr.,L,R
640455,sean manaea,R,L
607067,colin rea,R,R
687075,brandon sproat,R,R
681347,mike burrows,R,R
677952,braxton ashcraft,L,R
676917,cade cavalli,R,R
672282,reid detmers,L,L
669467,andre pallante,R,R
680730,mitchell parker,L,L
665871,javier assad,R,R
607259,nick martinez,L,R
691725,andrew painter,R,R
690986,kyle harrison,R,L
621111,walker buehler,R,R
592836,taijuan walker,R,R
571927,steven matz,R,L
656641,jacob latz,R,L
676962,ben brown,R,R
695418,brad lord,R,R
676467,colton gordon,L,L
663855,jordan hicks,R,R
571945,miles mikolas,R,R
681517,kyle leahy,S,R
656492,foster griffin,R,L
680802,ryan weiss,R,R
663623,jake irvin,R,R
693855,ian seymour,L,L
678906,kai-wei teng,R,R
606996,kyle hart,L,L
607200,erick fedde,R,R
672456,keider montero,R,R
690953,mick abel,R,R
641585,j.p. france,R,R
691951,sam aldegheri,L,L
686799,jack kochanowicz,L,R
682227,brandon williamson,R,L
641743,anthony kay,L,L
681217,chase silseth,R,R
669084,dl hall,L,L
669387,carmen mlodzinski,R,R
805123,aj blubaugh,R,R
677865,justin bruihl,L,L
656794,sean newcomb,L,L
668964,tobias myers,R,R
663765,jake woodford,R,R
641302,tyler alexander,R,L
668933,graham ashcraft,L,R
656222,jalen beeks,L,L
676428,brant hurter,L,L
596001,jakob junis,R,R
663947,tyler holton,L,L
668390,cole winn,R,R
670329,rico garcia,R,R
642121,cole sulser,R,R
681432,luke little,L,L
676879,aaron ashby,R,L
641329,bryan baker,R,R
661395,jhoan duran,R,R
646241,enmanuel de jesus,L,L
593974,wandy peralta,L,L
680704,nick sandlin,R,R
666974,yennier cano,R,R
445276,kenley jansen,S,R
669438,mason englert,S,R
690925,clayton beeter,R,R
672582,angel zerpa,L,L
702273,noah schultz,L,L
663767,chase shugart,L,R
668834,easton mcgee,R,R
685126,brandon eisert,L,L
687377,orlando ribalta,R,R
687606,paxton schultz,L,R
