player_id,player_name,bat_hand,throw_hand
405395,"Pujols, Albert",,
408234,"Cabrera, Miguel",,
424144,"Pérez, Oliver",,
425784,"Rivera, René",,
425794,"Wainwright, Adam",,
425844,"Greinke, Zack",,
425877,"Molina, Yadier",,
429664,"Canó, Robinson",,
429722,"Santana, Ervin",,
431148,"Kazmir, Scott",,
433589,"Petit, Yusmeiro",,
434378,"Verlander, Justin",R,R
434671,"Sánchez, Aníbal",,
435559,"Suzuki, Kurt",,
443558,"Cruz, Nelson",,
444482,"Peralta, David",,
444489,"Piña, Manny",,
444876,"Escobar, Alcides",,
445055,"Jay, Jon",,
445213,"Kintzler, Brandon",,
445276,"Jansen, Kenley",S,R
445926,"Chavez, Jesse",R,R
446321,"Detwiler, Ross",,
446334,"Longoria, Evan",,
446372,"Kluber, Corey",,
446653,"Lobatón, Jose",,
448179,"Hill, Rich",L,L
448281,"Doolittle, Sean",,
448855,"Guerra, Junior",,
450203,"Morton, Charlie",R,R
451584,"Davis, Wade",,
451594,"Fowler, Dexter",,
452027,"Albers, Andrew",,
452657,"Lester, Jon",,
452678,"Cabrera, Asdrúbal",,
453178,"Kennedy, Ian",,
453192,"Miller, Andrew",,
453265,"Watson, Tony",,
453268,"Bard, Daniel",,
453281,"LeBlanc, Wade",,
453284,"Parker, Blake",,
453286,"Scherzer, Max",R,R
453343,"Melancon, Mark",,
453562,"Arrieta, Jake",,
453568,"Blackmon, Charlie",,
453943,"Frazier, Todd",,
455117,"Maldonado, Martín",R,R
455119,"Martin, Chris",R,R
455139,"Chirinos, Robinson",,
456034,"Price, David",,
456501,"Cueto, Johnny",,
456713,"Bush, Matt",,
456715,"Cain, Lorenzo",,
456781,"Solano, Donovan",R,R
457705,"McCutchen, Andrew",R,R
457708,"Upton, Justin",,
457727,"Maybin, Cameron",,
457759,"Turner, Justin",R,R
457763,"Posey, Buster",,
457803,"Bruce, Jay",,
457915,"Guerra, Javy",,
457918,"Happ, J.A.",,
458015,"Votto, Joey",,
458676,"Lindblom, Josh",,
458677,"Wilson, Justin",L,L
458681,"Lynn, Lance",,
458708,"Tomlin, Josh",,
458731,"Gardner, Brett",,
459429,"McGee, Jake",,
459964,"Joyce, Matt",,
460077,"Butera, Drew",,
461325,"Clippard, Tyler",,
461865,"Romine, Andrew",,
461872,"Swarzak, Anthony",,
462101,"Andrus, Elvis",,
465657,"Soria, Joakim",,
467008,"Strop, Pedro",,
467055,"Sandoval, Pablo",,
467092,"Ramos, Wilson",,
467793,"Santana, Carlos",S,R
467827,"Parra, Gerardo",,
468504,"Chacín, Jhoulys",,
471911,"Carrasco, Carlos",R,R
472551,"Abad, Fernando",,
472610,"García, Luis",R,R
474463,"Anderson, Brett",,
474568,"Mercer, Jordy",,
474832,"Belt, Brandon",,
475479,"Phelps, David",,
475582,"Zimmerman, Ryan",,
476454,"Betances, Dellin",,
476594,"Stock, Robert",L,R
476595,"Luetge, Lucas",,
476704,"Lowrie, Jed",,
477132,"Kershaw, Clayton",L,L
488671,"Avila, Alex",,
488726,"Brantley, Michael",,
488748,"Buchter, Ryan",,
488771,"Castro, Jason",,
488984,"Hunter, Tommy",,
489119,"Miley, Wade",L,L
489265,"Romo, Sergio",,
489334,"Stammen, Craig",,
489446,"Yates, Kirby",L,R
491624,"Valdez, César",,
491703,"Feliz, Neftalí",,
493329,"Gurriel, Yuli",R,R
493472,"Campbell, Eric",,
493603,"Ottavino, Adam",S,R
500610,"Guerra, Deolis",,
500743,"Rojas, Miguel",R,R
500779,"Quintana, Jose",R,L
500871,"Escobar, Eduardo",,
501303,"Adrianza, Ehire",,
501381,"Pineda, Michael",,
501571,"Lagares, Juan",,
501593,"Avilán, Luis",,
501625,"Alvarez, Jose",,
501659,"Almonte, Abraham",,
501789,"Harris, Will",,
501925,"Smith, Joe",,
501981,"Davis, Khris",,
501985,"Minor, Mike",,
502042,"Archer, Chris",,
502043,"Gibson, Kyle",R,R
502054,"Pham, Tommy",R,R
502083,"McAllister, Zach",,
502085,"Robertson, David",R,R
502110,"Martinez, J.D.",,
502154,"Britton, Zack",,
502171,"Cobb, Alex",,
502179,"Espino, Paolo",,
502202,"Boxberger, Brad",,
502210,"Reddick, Josh",,
502239,"Cahill, Trevor",,
502273,"Freeman, Mike",,
502327,"Santiago, Héctor",,
502481,"Dyson, Jarrod",,
502522,"Miller, Justin",,
502593,"Petricka, Jake",,
502624,"Anderson, Chase",,
502671,"Goldschmidt, Paul",R,R
502706,"Holland, Derek",,
502748,"Peacock, Brad",,
503285,"O'Day, Darren",,
503449,"Peralta, Wily",,
503556,"Gonzalez, Marwin",,
503569,"Dolis, Rafael",,
505447,"Dickson, Brandon",,
506433,"Darvish, Yu",R,R
506702,"León, Sandy",S,R
506703,"Sanchez, Adrián",,
514888,"Altuve, Jose",R,R
514917,"Hernández, César",,
516416,"Segura, Jean",,
516770,"Castro, Starlin",,
516782,"Marte, Starling",R,R
517008,"Colomé, Alex",,
518397,"Alexander, Scott",L,L
518435,"Barreda, Manny",,
518489,"Brasier, Ryan",R,R
518516,"Bumgarner, Madison",,
518553,"Cishek, Steve",,
518585,"Cruz, Fernando",R,R
518586,"Culberson, Charlie",,
518595,"d'Arnaud, Travis",R,R
518617,"Diekman, Jake",,
518626,"Donaldson, Josh",,
518633,"Duffy, Danny",,
518692,"Freeman, Freddie",L,R
518735,"Grandal, Yasmani",,
518748,"Grimm, Justin",,
518774,"Harvey, Matt",,
518792,"Heyward, Jason",L,L
518813,"Holland, Greg",,
518858,"Jones, Nate",,
518876,"Kelly, Merrill",R,R
518886,"Kimbrel, Craig",R,R
518902,"Kozma, Pete",,
518934,"LeMahieu, DJ",R,R
518960,"Lucroy, Jonathan",,
519008,"McFarland, T.J.",L,L
519043,"Moore, Matt",,
519048,"Moreland, Mitch",,
519058,"Moustakas, Mike",,
519076,"Nelson, Jimmy",,
519141,"Pomeranz, Drew",R,L
519151,"Pressly, Ryan",R,R
519203,"Rizzo, Anthony",,
519222,"Romine, Austin",,
519242,"Sale, Chris",L,L
519293,"Smith, Will",,
519299,"Sogard, Eric",,
519306,"Souza Jr., Steven",,
519317,"Stanton, Giancarlo",R,R
519326,"Strickland, Hunter",R,R
519390,"Vogt, Stephen",,
519443,"Workman, Brandon",,
519455,"Zimmermann, Jordan",,
520471,"Galvis, Freddy",,
520980,"Báez, Pedro",,
521230,"Hendriks, Liam",R,R
521692,"Perez, Salvador",R,R
523260,"Kelly, Joe",,
527038,"Flores, Wilmer",R,R
527048,"Pérez, Martín",L,L
527054,"Teheran, Julio",,
527055,"Vizcaíno, Arodys",,
528748,"Castellanos, Humberto",,
533167,"Shoemaker, Matt",,
534606,"LaMarre, Ryan",,
534910,"Hahn, Jesse",R,R
541600,"Tovar, Wilfredo",,
541640,"Ramírez, Erasmo",R,R
541645,"García, Avisaíl",,
541650,"Pérez, Hernán",,
542194,"Bethancourt, Christian",,
542208,"Pérez, Carlos",,
542255,"Inciarte, Ender",,
542303,"Ozuna, Marcell",R,R
542340,"Villar, Jonathan",,
542364,"Ortega, Rafael",,
542454,"Santana, Danny",,
542583,"Aguilar, Jesús",,
542585,"Cisnero, José",,
542881,"Anderson, Tyler",L,L
542882,"Andriese, Matt",,
542888,"Armstrong, Shawn",R,R
542914,"Bass, Anthony",,
542921,"Beckham, Tim",,
542932,"Berti, Jon",R,R
542947,"Bleier, Richard",,
542960,"Brach, Brad",,
542963,"Brantly, Rob",,
