team,total_k,total_ab,plate_appearances,k_rate
ATH,162.0,542.0,542.0,0.2988929889298893
ATL,128.0,584.0,584.0,0.2191780821917808
AZ,139.0,550.0,550.0,0.25272727272727274
BAL,149.0,526.0,526.0,0.2832699619771863
BOS,141.0,533.0,533.0,0.26454033771106944
CHC,153.0,571.0,571.0,0.2679509632224168
CIN,145.0,533.0,533.0,0.27204502814258913
CLE,133.0,582.0,582.0,0.22852233676975944
COL,162.0,539.0,539.0,0.300556586270872
CWS,172.0,545.0,545.0,0.3155963302752294
DET,140.0,529.0,529.0,0.2646502835538752
HOU,130.0,585.0,585.0,0.2222222222222222
KC,146.0,537.0,537.0,0.2718808193668529
LAA,167.0,558.0,558.0,0.2992831541218638
LAD,141.0,543.0,543.0,0.2596685082872928
MIA,128.0,564.0,564.0,0.22695035460992907
MIL,139.0,529.0,529.0,0.2627599243856333
MIN,157.0,551.0,551.0,0.2849364791288566
NYM,131.0,583.0,583.0,0.22469982847341338
NYY,154.0,523.0,523.0,0.2944550669216061
PHI,137.0,540.0,540.0,0.2537037037037037
PIT,148.0,548.0,548.0,0.27007299270072993
SD,120.0,528.0,528.0,0.22727272727272727
SEA,161.0,553.0,553.0,0.2911392405063291
SF,123.0,530.0,530.0,0.2320754716981132
STL,126.0,527.0,527.0,0.23908918406072105
TB,108.0,519.0,519.0,0.20809248554913296
TEX,155.0,539.0,539.0,0.287569573283859
TOR,115.0,549.0,549.0,0.20947176684881602
WSH,126.0,564.0,564.0,0.22340425531914893
