team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type
ARI,82.3,4.3,313,10,retractable
ATL,62.7,7.5,80,29,open
BAL,51.1,6.8,122,27,open
BOS,39.7,9.6,90,37,open
CHC,54.3,12.7,190,59,open
CHW,64.7,13.7,174,43,open
CIN,55.1,3.8,130,36,open
CLE,60.3,11.5,168,18,open
COL,69.9,10.1,302,13,open
DET,43.7,6.4,162,56,open
HOU,68.6,8.8,122,68,retractable
KC,75.2,19.7,209,25,open
LAA,65.3,5.1,214,72,open
LAD,66.0,4.5,243,68,open
MIA,71.3,8.1,42,91,retractable
MIL,65.5,15.7,194,41,retractable
MIN,38.9,7.7,285,67,open
NYM,38.5,7.1,145,63,open
NYY,35.0,3.9,103,74,open
OAK,60.8,6.4,216,78,open
PHI,45.9,9.1,126,34,open
PIT,61.4,8.6,143,17,open
SD,71.5,6.0,292,61,open
SF,56.0,12.0,291,98,open
SEA,53.0,4.9,357,76,retractable
STL,66.0,8.4,164,43,open
TB,66.7,19.0,56,82,dome
TEX,75.3,8.5,185,36,retractable
TOR,37.3,10.6,72,71,retractable
WSH,47.8,4.8,112,32,open
