team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type,cf_direction_deg,wind_effect
ARI,87.3,10.5,270,16,retractable,0,cross
ATL,63.3,5.1,319,32,open,135,in
BAL,52.9,5.7,18,48,open,30,out
BOS,43.1,7.4,319,42,open,45,cross
CHC,45.7,6.1,73,68,open,45,out
CHW,43.1,9.8,91,79,open,135,out
CIN,63.5,4.1,45,38,open,100,cross
CLE,39.3,3.4,98,60,open,0,cross
COL,51.8,7.4,139,39,open,0,in
DET,53.5,7.3,79,37,open,135,cross
HOU,68.2,7.5,141,90,retractable,330,in
KC,67.6,11.5,168,76,open,45,cross
LAA,61.5,7.1,246,72,open,45,in
LAD,55.0,4.0,128,86,open,30,cross
MIA,76.1,12.2,43,55,retractable,100,cross
MIL,42.1,3.5,145,90,retractable,135,out
MIN,46.3,10.9,134,87,open,90,out
NYM,53.5,8.6,321,35,open,5,out
NYY,49.4,7.7,330,42,open,90,cross
OAK,49.7,11.8,245,90,open,45,in
PHI,63.9,11.5,323,28,open,5,out
PIT,60.0,7.2,321,31,open,100,in
SD,60.8,4.5,279,73,open,0,cross
SF,49.8,8.6,231,75,open,90,in
SEA,45.0,2.0,333,92,retractable,45,cross
STL,65.7,8.5,150,76,open,45,cross
TB,71.2,13.2,80,63,dome,45,out
TEX,69.6,12.5,161,84,retractable,135,out
TOR,43.1,3.4,180,78,retractable,0,in
WSH,55.8,6.2,52,43,open,40,out
