team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type,cf_direction_deg,wind_effect,wind_score
ARI,83.4,5.7,59,13,retractable,0,cross,0
ATL,56.2,8.9,321,72,open,135,in,-1
BAL,57.1,13.7,294,67,open,30,cross,0
BOS,55.2,6.4,216,90,open,45,in,0
CHC,48.8,10.1,292,60,open,45,cross,0
CHW,47.4,6.6,282,68,open,135,in,0
CIN,48.7,12.4,309,53,open,100,in,-2
CLE,38.3,16.3,279,76,open,0,cross,0
COL,63.5,5.3,54,13,open,0,cross,0
DET,36.3,5.4,279,77,open,135,in,0
HOU,61.4,6.8,8,77,retractable,330,out,0
KC,61.3,8.1,323,29,open,45,cross,0
LAA,66.0,6.1,197,56,open,45,in,0
LAD,72.3,6.8,262,35,open,30,cross,0
MIA,78.8,11.4,90,70,retractable,100,out,1
MIL,45.9,7.1,288,70,retractable,135,in,0
MIN,47.2,17.6,307,66,open,90,in,-2
NYM,51.3,9.9,306,80,open,5,cross,0
NYY,59.0,9.1,248,81,open,90,in,-1
OAK,72.5,5.2,275,32,open,45,cross,0
PHI,52.7,9.4,288,74,open,5,cross,0
PIT,44.9,13.1,261,70,open,100,in,-2
SD,68.3,4.9,240,65,open,0,cross,0
SF,55.8,8.4,281,79,open,90,in,-1
SEA,54.1,2.5,355,82,retractable,45,cross,0
STL,48.0,6.0,283,56,open,45,cross,0
TB,80.5,10.1,265,59,dome,45,in,0
TEX,67.9,10.3,22,35,retractable,135,cross,0
TOR,37.3,13.8,279,75,retractable,0,cross,0
WSH,60.1,12.1,309,65,open,40,cross,0
